,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
835117,0x80c2cf383457d135:0x36744cb10b261079,La Morenita,"La Morenita, 1320 La Puerta St, Los Angeles, CA 90023",34.0166736,-118.1930988,Restaurant,4.9,16,Opens soon ⋅ 5:30AM,"0x80c2cf49941b6d4b:0xb422621f78ac9b0b, 0x80c2c67d0bd42dd5:0x2df3e64808b1ef54, 0x80c2cf38b9e309af:0x6030477456877dd5, 0x80c2cf4ca375bcb3:0x82d93dce52abe41f, 0x80c2c8b16c055ecb:0xbe1bda5a509624c9","Takeout, Delivery",Dining Venue,1320 La Puerta St,Los Angeles,Los Angeles
835466,0x80858135ed8fa4dd:0x407a4474866a3ffd,Bluestone Lane Avery Café,"Bluestone Lane Avery Café, 420 Folsom St, San Francisco, CA 94105",37.7880448,-122.3939606,"Coffee shop, Cafe",4.3,56,Closed ⋅ Opens 6:30AM,Sin resultados vinculados,"Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Café & Coffee,420 Folsom St,San Francisco,San Francisco
835632,0x8096bbacff7658f5:0x38dfccce56f212a4,The Kitchen At MoonBow (Bootjack),"The Kitchen At MoonBow (Bootjack), 5034 Darrah Rd, Mariposa, CA 95338",37.4650998,-119.8860697,Restaurant,4.8,18,Closed ⋅ Opens 8AM,Sin resultados vinculados,"Outdoor seating, Takeout, Delivery",Dining Venue,5034 Darrah Rd,Mariposa,Mariposa
835772,0x80dcd624f0941fb1:0x7375717094848b29,Cervantes Mexican Food,"Cervantes Mexican Food, 201 W Center Street Promenade, Anaheim, CA 92805",33.8340057,-117.9158447,"Mexican restaurant, Fast food restaurant, Pozole restaurant",4.3,45,Closed ⋅ Opens 9AM,"0x80dcd63ab4503715:0xd5bde243442942f4, 0x80dd29deca33fc61:0x85677fc8d85f43c7, 0x80dcd7afbc955cd3:0xb2f982b1beebbde4, 0x80dcd7e6f419f54d:0x1920375d9abcdd61, 0x80dcd62284c84753:0x4e858fe3cb3083b5","Outdoor seating, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,201 W Center Street Promenade,Anaheim,Orange
835809,0x808e41a685745501:0x4a7d82b38d1bc7bc,Cowell/Stevenson Dining Hall,"Cowell/Stevenson Dining Hall, 520 Cowell-Stevenson Road, Santa Cruz, CA 95064",36.9968119,-122.0530381,"Cafeteria, Restaurant",3.9,64,Temporarily closed,"0x808e401ec6582e0b:0x5593fd4041c05224, 0x808e4027ceb80c25:0x867ca882922e5159, 0x808e40266dafefc3:0x6dab798e4b252ca8, 0x808e4027b2561da3:0x8fba2c2e8ae29dae",Delivery,Dining Venue,520 Cowell-Stevenson Road,Santa Cruz,Santa Cruz
838340,0x80dbf91dfb7590d3:0xa082db87e655b1fe,Mama Testa Taqueria,"Mama Testa Taqueria, Law Library, 9225 Mira Mesa Blvd, San Diego, CA 92126",32.9165344,-117.1259195,"Mexican restaurant, Restaurant",4.1,27,None,0x80dc07b3ffd35613:0xa3a6b71936c77b6c,Delivery,Dining Venue,"Law Library, 9225 Mira Mesa Blvd",San Diego,San Diego
839748,0x809acfde0362ddc5:0xd3de7aef91a4f2bc,Tastea Sacramento,"Tastea Sacramento, 7235 Franklin Blvd Unit 4, Sacramento, CA 95823",38.4946785,-121.4581646,"Bubble tea store, Coffee shop",4.2,15,Closed ⋅ Opens 11AM,Sin resultados vinculados,"No-contact delivery, Delivery, Takeout, Dine-in",Café & Coffee,7235 Franklin Blvd Unit 4,Sacramento,Sacramento
840656,0x808fb09956ad2505:0xd2683d9850993679,Starbucks,"Starbucks, 645 San Antonio Rd, Mountain View, CA 94040",37.40212,-122.111866,"Coffee shop, Cafe, Coffee store, Espresso bar",4.0,18,Closed ⋅ Opens 5:30AM,"0x808fb6d6393c4727:0x37c8d56ba01233f0, 0x808fb0b856250a25:0x4cb5b75f8904f38b, 0x808fb099bfe3a21d:0xef1e5ca5d90c25ba, 0x808fb734116ac517:0x39773b61b8c262c6, 0x808fb732c80404c7:0xdf6021c2ff62dae7","Takeout, Delivery",Café & Coffee,645 San Antonio Rd,Mountain View,Santa Clara
841061,0x80db7e3dec73fea5:0x5afb5f0e18d2f8d5,Villa Italian Kitchen,"Villa Italian Kitchen, 40820 Winchester Rd Sp Fc1, Temecula, CA 92591",33.5259276,-117.1534872,"Pizza restaurant, Caterer, Italian restaurant, Pasta shop, Restaurant, Salad shop",4.1,18,Temporarily closed,"0x80db7e3dec73fea5:0x3dfb94019c58a952, 0x80db7fc87d0b1d91:0xb6a7b718fabf6a72, 0x80db7fca6b9cf619:0x9308affe3e638918, 0x80db7fcbe0fc8d39:0xf90d9525dc7ef99, 0x80dc823f3e786579:0x76542afe455e94a3","Takeout, Delivery",Dining Venue,40820 Winchester Rd Sp Fc1,Temecula,Riverside
841148,0x80c25b195e97d72f:0x5586a1498e0ccbde,Thai Garden Restaurant,"Thai Garden Restaurant, 2011 W Ave K, Lancaster, CA 93536",34.6758685,-118.1664286,Thai restaurant,4.3,13,None,"0x80c25b195e97d72f:0x15cae441644479, 0x80c25ae1ad610ca5:0xb33e7ea584b38f6c, 0x80c25ac7ee930d31:0xf2610f6879837370, 0x80c25ae22b501c3f:0x2fc3c42fea000c00, 0x80c259bd2f500bf1:0xef3f34421ce580ff",Delivery,Dining Venue,2011 W Ave K,Lancaster,Los Angeles
841247,0x808449558b8a1231:0x9880135b7b2409e,Dunkin',"Dunkin', 2739 Santa Rosa Ave, Santa Rosa, CA 95407",38.4111561,-122.7138881,"Coffee shop, Bagel shop, Bakery, Breakfast restaurant, Donut shop, Fast food restaurant, Takeout Restaurant",3.9,28,Closed ⋅ Opens 6AM,Sin resultados vinculados,"Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,2739 Santa Rosa Ave,Santa Rosa,Sonoma
841281,0x80853d339589ea1b:0x7d6246e7e7ecfc59,Starbucks,"Starbucks, 1031 Helen Power Dr, Vacaville, CA 95687",38.3644285,-121.9628187,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.1,13,None,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Dining Venue,1031 Helen Power Dr,Vacaville,Solano
841438,0x80c2c712e5bd4ba3:0x447482239d0a57c1,Pupuseria y Panederia Atecosol,"Pupuseria y Panederia Atecosol, 2523 W Temple St, Los Angeles, CA 90026",34.0726129,-118.274087,Restaurant,4.3,58,Closed ⋅ Opens 9AM,"0x80c2c70f0b4af70d:0x9b40ba4e62993832, 0x80c2c7730ba2675b:0x476a9c87baae3b39, 0x80c2c79718bcefdd:0x60cafd0ba741e63, 0x80c2c707f0e5b0ff:0x34f4317a8d34d2f0, 0x80c2b89aecbd09e1:0x13202bad667715d5","Takeout, Dine-in, Delivery",Dining Venue,2523 W Temple St,Los Angeles,Los Angeles
842443,0x8082f298d17c8631:0x9d0f930eda9b681a,Sweet Swirls Cakes and Confections,"Sweet Swirls Cakes and Confections, 711 4th St, Corning, CA 96021",39.9282709,-122.1806556,Restaurant,4.7,28,None,"0x8082f2be73d7c4b9:0x372a1e98bd2bc99b, 0x8082f295347cdc37:0x2aa8b1bcb12322, 0x8082f29eda4aeca3:0xfbfaec7f2ec9f11d, 0x8082f298f3879741:0x65ac6cc483647b40, 0x8082f29e61239b3f:0x589713a5d3f97296","Takeout, Delivery",Dining Venue,711 4th St,Corning,Tehama
842827,0x80c2c7b49b13da53:0x4711c6fcf8cd32e2,Checkers Downtown,"Checkers Downtown, 535 S Grand Ave, Los Angeles, CA 90071",34.0494983,-118.2547754,"Californian restaurant, American restaurant, Cocktail bar, French restaurant, Restaurant, Wine bar",4.1,57,Closed ⋅ Opens 6AM,"0x80c2c64b17a7b2a9:0x35a90616562b4544, 0x80c2c64b3c7f4307:0x363fab566c4d85a6, 0x80c2c7b16966941f:0xd329598f5f9ac3a5, 0x80c2c7b25aecbc23:0x2998fa257ce25f20, 0x80c2c7b36bea8483:0x317c184cda3e60ad","Takeout, Dine-in, Delivery",Dining Venue,535 S Grand Ave,Los Angeles,Los Angeles
842893,0x80c2c637012f1a41:0x9be128b47f63da1b,MADE by DWC Cafe & Gift Boutique,"MADE by DWC Cafe & Gift Boutique, 442 San Pedro St, Los Angeles, CA 90011",34.044667,-118.2434723,"Coffee shop, Bakery",4.4,26,Closed ⋅ Opens 8:30AM,"0x80c2c70cab5d72c9:0x58d21d4abb9ae3b7, 0x80c2c64a9adf74f7:0xeb3fb34a9e9a4c09, 0x80c2c6394db673e3:0x70b62d0cdf261b1e","Takeout, Dine-in, Delivery",Café & Coffee,442 San Pedro St,Los Angeles,Los Angeles
842941,0x80db7f729989666d:0x9da7d814dac06192,The Gumbo Pot,"The Gumbo Pot, 41931 Av. Vista Ladera, Temecula, CA 92590",33.51585,-117.1364481,Restaurant,4.0,18,Closed ⋅ Opens 12PM,Sin resultados vinculados,"Curbside pickup, Delivery, Takeout",Dining Venue,41931 Av. Vista Ladera,Temecula,Riverside
843443,0x80db514700661c5f:0x8439250256aa8cf,Element Shaved Ice,"Element Shaved Ice, 12120 California St, Yucaipa, CA 92399",34.0334811,-117.0389742,Restaurant,4.9,28,Closed ⋅ Opens 12PM Sat,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Dining Venue,12120 California St,Yucaipa,San Bernardino
844019,0x80c29721bbafc19d:0x864a65486f35763,LA Shawarma,"LA Shawarma, 12925 Sherman Way, North Hollywood, CA 91605",34.2014294,-118.4149907,Mediterranean restaurant,4.8,48,Closed ⋅ Opens 11AM Sat,"0x80c2c0467ef85d9f:0x31a0c268c38faacc, 0x80c29676f3102c95:0xcc7ba1969c08a7e5, 0x80c2be4f8e86892f:0x5b6104b4c4efb58d, 0x80c2bb82cd894537:0x1f2e93025137ba45","Delivery, Takeout, Dine-in",Dining Venue,12925 Sherman Way,North Hollywood,Los Angeles
844397,0x808fb7e258760c09:0x5734025e7623004c,Bay Biryanis,"Bay Biryanis, 698 W Dana St, Mountain View, CA 94041",37.3922807,-122.0783547,"Indian restaurant, Biryani restaurant",4.6,38,Closed ⋅ Opens 11:30AM Sat,Sin resultados vinculados,"Curbside pickup, Takeout, Dine-in, Delivery",Dining Venue,698 W Dana St,Mountain View,Santa Clara
844858,0x809b530d89e3852d:0xa6a3eb769f30461e,Krankin Hanks,"Krankin Hanks, 726 J St, Marysville, CA 95901",39.1423542,-121.5993735,"Sports bar, Restaurant",4.7,23,Closed ⋅ Opens 3PM Sat,"0x809b536cf34761cb:0xb3d76d693979e37e, 0x809b53452074bedf:0x2afbc7517ef6aecf, 0x809b534068b87617:0x5d2b2f7636ab7b61","Curbside pickup, Takeout, Dine-in, Delivery",Dining Venue,726 J St,Marysville,Yuba
844942,0x80c3273bc7d3f1df:0x9b7d7d3d3a8d9329,yoxi teatime,"yoxi teatime, 151 W Rte 66, Glendora, CA 91740",34.1290682,-117.8660819,"Cafe, Restaurant, Tea house",4.7,38,Closed ⋅ Opens 12PM Sat,"0x80c3271ac34989ef:0xc69c157139dd94c0, 0x80c32636637e9899:0x23860f18bfe51b1e, 0x80c32794d1ebc8cd:0xfdab5b8871a83baf","Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,151 W Rte 66,Glendora,Los Angeles
845752,0x80c2db988a9307f9:0xb948d5369ae0ce1b,Tasty Thousand Restaurant,"Tasty Thousand Restaurant, 8817 Valley Blvd, Rosemead, CA 91770",34.0817145,-118.0768275,"Restaurant, Chinese restaurant, Mandarin restaurant, Seafood restaurant, Soup restaurant",2.9,58,Closed ⋅ Opens 11:30AM Sat,"0x80c2da96ec9d88c1:0x9b38911830d20a35, 0x80c2dade5fafec93:0xa36a82c34243e217, 0x80c2dab74992aaf1:0xe9c76598e1b813f3, 0x80c2d089cd9297e3:0x7a360ee4627ec865","Takeout, Dine-in, Delivery",Dining Venue,8817 Valley Blvd,Rosemead,Los Angeles
846606,0x80dbfff8a5747c83:0xd60cfd8f0a2a0157,A Bowl,"A Bowl, 4690 Convoy St #111, San Diego, CA 92111",32.826673,-117.1558408,"Chinese restaurant, Shanghainese restaurant",4.4,38,Closed ⋅ Opens 11AM Sat,"0x80dbffeca0f5337d:0x163b764ce456926f, 0x80dbffe941d00001:0x2509df9ce4a10859, 0x80dbff96ba837e4f:0xae32323390e27a86, 0x80dbff946865152f:0xc02db1e93e3a903, 0x80dbff8b95e6accd:0x6e5d90feedc39ad1","Delivery, Takeout, Dine-in",Dining Venue,4690 Convoy St #111,San Diego,San Diego
846853,0x80dcab33997a91a3:0x164bd854660d4ce4,La Familia Restaurant,"La Familia Restaurant, 25227 Redlands Blvd A, Loma Linda, CA 92354",34.0627041,-117.2539452,Mexican restaurant,4.7,38,Closed ⋅ Opens 11AM Sat,Sin resultados vinculados,"Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,25227 Redlands Blvd A,Loma Linda,San Bernardino
847099,0x80dcd923874d3731:0x42ed8b57c50c4759,Mariscos Pueblo Culiche,"Mariscos Pueblo Culiche, 1291-1299 W Myrtle St, Santa Ana, CA 92703",33.7418068,-117.8848772,Mexican restaurant,4.6,36,Closed ⋅ Opens 10AM Sat,Sin resultados vinculados,"Takeout, Dine-in, Delivery",Dining Venue,1291-1299 W Myrtle St,Santa Ana,Orange
848221,0x80c355cf73b71345:0x5285f350f1f33eb7,Tacos La Morena,"Tacos La Morena, Kendall dr and N 4th ave, San Bernardino, CA 92407",34.1250345,-117.2713398,Restaurant,4.6,17,Open ⋅ Closes 10:30PM,"0x80c3536073f2850f:0x2f2ad10a45192a66, 0x80c353ef3524b5d9:0xa52c1cd330e01715, 0x80c353ce7ea57fd5:0xeb9d1c5c6bea3d8f, 0x80c35484601a38fb:0x6f7d738bc0ea4d57","Takeout, Dine-in, Delivery",Dining Venue,Kendall dr and N 4th ave,San Bernardino,San Bernardino
849417,0x80dd27e2a21ea199:0xef6510f3f60ae430,Song Long Inc,"Song Long Inc, 13029 S Euclid St, Garden Grove, CA 92843",33.774013,-117.9387631,Bakery,3.7,28,Open ⋅ Closes 8:30PM,"0x80dd27b6737049ab:0xe6732b26535b563d, 0x80dd27e29ca3f759:0x5e5761f3f791b857, 0x80dd27ee0bf695dd:0xb69da7b6ec4c42aa, 0x80dd27e29990d50f:0x8269db32022fcc26","Delivery, In-store shopping, Takeout, Dine-in",Bakery Shop,13029 S Euclid St,Garden Grove,Orange
849418,0x80dd29b2f511783f:0x77ca479005aaaf48,KING PARADISE,"KING PARADISE, 9777 Chapman Ave, Garden Grove, CA 92841",33.7898716,-117.9620828,"Vietnamese restaurant, Restaurant",4.6,18,Open ⋅ Closes 9PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,9777 Chapman Ave,Garden Grove,Orange
850032,0x80c2c9807353ebf3:0xca991b70215ae8c5,Delicias Mexican Food,"Delicias Mexican Food, 2076 E 103rd St #3127, Los Angeles, CA 90002",33.942968,-118.234934,American restaurant,4.7,38,Open ⋅ Closes 8PM,"0x80c2cbd6496ccec1:0xf702bf5a9e2a2afc, 0x80c2b7f86fdf6dc5:0xd94b97c0123ce003, 0x80c2cbda255034dd:0xb022075581ca599f, 0x80c2ce8153039509:0x1f189d4ea12cd613","No-contact delivery, Takeout, Dine-in, Delivery",Dining Venue,2076 E 103rd St #3127,Los Angeles,Los Angeles
851125,0x809b3de8de868eb1:0xa347dcc5ce7cc4e6,Via Roma Pizzeria,"Via Roma Pizzeria, 2270 Nicolaus Rd, Lincoln, CA 95648",38.8979671,-121.3219493,Restaurant,4.7,24,Open ⋅ Closes 9PM,Sin resultados vinculados,"Outdoor seating, Takeout, Dine-in",Dining Venue,2270 Nicolaus Rd,Lincoln,Placer
852311,0x80945dd80156543b:0x5da9813cede7a1e5,Carnitas Taqueria Nueva Italia,"Carnitas Taqueria Nueva Italia, 1634 N Cedar Ave, Fresno, CA 93703",36.7658947,-119.7541308,Mexican restaurant,4.5,15,Closed ⋅ Opens 11AM Sat,"0x80945f9ca2decd0f:0xd17db4c12a2f2c5f, 0x80945e8b2768da25:0xc036f8735f5635e5, 0x80945db959a8acf3:0xccd39a07fe90a073, 0x80945de13982c5e3:0x39bb02b6cca952b9","Takeout, Dine-in, Delivery",Dining Venue,1634 N Cedar Ave,Fresno,Fresno
852431,0x80e833af392197f3:0xfce0c6cb7a2badb,Chipotle Mexican Grill,"Chipotle Mexican Grill, 806 E Los Angeles Ave Suite C, Moorpark, CA 93021",34.278766,-118.8667553,"Mexican restaurant, Caterer, Fast food restaurant",3.5,46,Open ⋅ Closes 10PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,806 E Los Angeles Ave Suite C,Moorpark,Ventura
852560,0x80c2beb4abaf4303:0xc64ef06c69f8d78c,M Con,"M Con, 8459 Beverly Blvd, Los Angeles, CA 90048",34.0762222,-118.3751883,"Sandwich shop, Asian restaurant, Restaurant",4.8,18,None,"0x80c2beb4abaf4303:0xcec701b4f16717cf, 0x80c2b9cbc5743877:0x4ad6c6a9498156da",Delivery,Dining Venue,8459 Beverly Blvd,Los Angeles,Los Angeles
853140,0x808fcb3309114ded:0x4994c6d89f5641b6,A Vie Bakery Cafe,"A Vie Bakery Cafe, 923 S Bascom Ave, San Jose, CA 95128",37.3095361,-121.9320972,Bakery,4.5,18,None,"0x808fcb70c08bcb2d:0x3b62dd25632df8ae, 0x808fcce9fe70ec75:0xc764976c753e179b, 0x808fca9668e4682f:0x92e7026a0a12faad, 0x808fccfb55558a81:0x72f02dd9554618d2",Delivery,Bakery Shop,923 S Bascom Ave,San Jose,Santa Clara
853557,0x80c2cdac7ca32c43:0xe99d0c06a6e5105b,Albert Fresh Mexican Food,"Albert Fresh Mexican Food, 8019 Stewart and Gray Rd, Downey, CA 90241",33.9346754,-118.1428766,Restaurant,3.3,18,Open ⋅ Closes 7PM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,8019 Stewart and Gray Rd,Downey,Los Angeles
854238,0x80c29c7d0030136b:0x6c4e01d9c98121b4,Tacos Playa De Oro,"Tacos Playa De Oro, Browns Creek Ln, Canoga Park, CA 91304",34.2241096,-118.5887548,"Restaurant, Mexican restaurant",4.7,18,Open ⋅ Closes 12AM,"0x80c29c4067a8bbe5:0x9915d54db17c4a06, 0x80c29c91d82b35ed:0xbe7a52723c1ecece, 0x80c29be67625e5b5:0x4a9f9040757a3e0f, 0x80c29c4237c8ee5d:0x6af5b79519d05669, 0x80c29c60d72c3a79:0x3d39320ceb149c55","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,Browns Creek Ln,Canoga Park,Los Angeles
854826,0x80858088648e8881:0x8ad0652a380c17d7,7-Eleven - Closed,"7-Eleven - Closed, 711 Market St, San Francisco, CA 94103",37.7870283,-122.4036761,"Convenience store, Bakery, Beer store, Candy store, Coffee shop, Food products supplier, Gas station, Snack bar, Tobacco shop, Wine store",3.0,24,None,"0x8085808745a45e15:0xcf79e9ab175b6a48, 0x808580a8cc09f1c7:0xdadcb19c1962a1f1, 0x8085808ff8f5a951:0xa1ef27382373bc61, 0x80858063b875002f:0x80481eadd3970da3","Same-day delivery, Delivery",Café & Coffee,711 Market St,San Francisco,San Francisco
855058,0x80c2cf98cc93ae0b:0xf329e8004eaeec4c,Chung Chun,"Chung Chun, 2207 S Atlantic Blvd, Monterey Park, CA 91754",34.0386001,-118.1459891,Hot dog restaurant,3.7,18,Open ⋅ Closes 8PM,"0x80c2cf909316de43:0xfa24391341194bd1, 0x80c2cf35336282e5:0x9bac42b96537789, 0x80dd2d01a0d16913:0x2524a657f6800c80, 0x80c2cfa7e6fdd677:0x2af2a631cdd9547d","Takeout, Delivery",Dining Venue,2207 S Atlantic Blvd,Monterey Park,Los Angeles
856022,0x80dd35dd47edae27:0xaed1084d6e952ef7,Tacos Estilo DF,"Tacos Estilo DF, 1007 Wilmington Blvd, Wilmington, CA 90744",33.7825355,-118.2747256,Taco restaurant,4.0,28,Closed ⋅ Opens 6PM,"0x80dd35c265f89e6d:0xd496d964480a630c, 0x80dd35ed953791bd:0x4d3be79f5090018e, 0x80dd34894c43171d:0x680052d89b5abaad, 0x80dd35ddf4fb4407:0x9f34b0df3ff8b367, 0x80dd35dc190b9549:0x4057d62baed3b97b","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,1007 Wilmington Blvd,Wilmington,Los Angeles
856029,0x80c2c636d1d934b1:0xe90ff484026cb782,Weingart Cafe,"Weingart Cafe, 554 San Pedro St, Los Angeles, CA 90013",34.0426083,-118.2447026,Cafe,3.7,14,Open ⋅ Closes 6PM,"0x80c2c7b066976ccd:0x987cd75d79873b7d, 0x80c2c636cc11c323:0x8c02f4bd7f6ec9c, 0x80c2c7a5994e14eb:0x5631b11d591611c3, 0x80c2c64ac1038f19:0x5936a91f68259e83",Delivery,Café & Coffee,554 San Pedro St,Los Angeles,Los Angeles
858271,0x808dfde8ac80e625:0x13b03b5f1fe20780,Aki Fresh Mex,"Aki Fresh Mex, 265 Carmel Ave, Marina, CA 93933",36.6824493,-121.7980851,Restaurant,4.8,78,Closed ⋅ Opens 11:30AM,Sin resultados vinculados,"Outdoor seating, Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,265 Carmel Ave,Marina,Monterey
858777,0x80deab161457878f:0xd0f5913466b408bb,Urban Crave,"Urban Crave, 3225 N Harbor Dr, San Diego, CA 92101",32.7332757,-117.198333,Restaurant,2.8,386,None,"0x80deab11470ff653:0xd862a8eb9f03049e, 0x80deab113eb0088f:0x9aab9a94bc32e0bc, 0x80deab1138e04693:0x56779783d18055a3","Takeout, Dine-in, Delivery",Dining Venue,3225 N Harbor Dr,San Diego,San Diego
858840,0x80c2cba5ce0f1489:0xe01ecaeae949e59c,OS Louisiana Fish and Grill,"OS Louisiana Fish and Grill, 11816 Wilmington Ave, Los Angeles, CA 90059",33.9253684,-118.2386143,Restaurant,3.7,58,Closed ⋅ Opens 10AM,0x80c2ca18cc4eaa43:0x11c4f184be5d2024,"Delivery, Takeout",Dining Venue,11816 Wilmington Ave,Los Angeles,Los Angeles
859607,0x80dbf975cb3eaa2d:0xaa55918af30e5626,Starbucks,"Starbucks, 10675 Scripps Poway Pkwy, San Diego, CA 92131",32.935417,-117.098484,"Coffee shop, Cafe, Coffee store, Espresso bar",4.5,27,Open ⋅ Closes 7PM,"0x80dbfa3191b2bfa9:0x812125de61470d58, 0x80dbf9c60027a7a9:0xe179aa08d5a8e8cc, 0x80dbf975b2937fbb:0xbfbd8aab57f4c1da, 0x80dbf81ec9181229:0x50638d9749dae5ca, 0x80dbf9816722ece1:0xeabb5b3d86bd4745","Outdoor seating, Delivery, Takeout, Dine-in",Café & Coffee,10675 Scripps Poway Pkwy,San Diego,San Diego
859722,0x808f86629aca5925:0xd7e23a34d2d4b9a1,Tacos La Penca Azul,"Tacos La Penca Azul, 720 High St, Oakland, CA 94601",37.7684222,-122.2193514,Mexican restaurant,4.3,28,Closed ⋅ Opens 11AM,"0x808f86629834c163:0x455d2b0bd76acab3, 0x808f86f19f76cdd7:0xa50a249f983389ba, 0x808f86641279a22f:0x93e3264c4b11ee25, 0x808f86f36b60c083:0x5693437b74f8151a, 0x808f86674bb23a77:0x6fd9aa2a463711d7","Takeout, Delivery",Dining Venue,720 High St,Oakland,Alameda
859859,0x80dceeb055f34447:0xa6317cd7daac06f,Rubino's Pizza,"Rubino's Pizza, 26012 Marguerite Pkwy suite l, Mission Viejo, CA 92692",33.5863747,-117.6581035,"Pizza restaurant, Delivery Restaurant",4.2,53,Closed ⋅ Opens 11AM,"0x80dce94dbb6bf67b:0x766dcc4be4d81655, 0x80dceeb2d357f865:0xb9eef3d673570c5d, 0x80dceeb30d968cbd:0xd74a76c4678ea0ef, 0x80dce96ef42a2b13:0x7e4009d9633e9164, 0x80dce98bd9cc9b01:0x2ce2d19da24d15e4","Delivery, Takeout, Dine-in",Dining Venue,26012 Marguerite Pkwy suite l,Mission Viejo,Orange
859986,0x80857e7ec15e332d:0x70ec42abfe143e23,Ada Cafe,"Ada Cafe, 3075 Adeline St, Berkeley, CA 94703",37.8526706,-122.2694874,"Coffee shop, Sandwich shop",4.5,28,Open ⋅ Closes 5PM,"0x80857e7eaaae0377:0x99f1aea561cb468f, 0x80857e78819df32d:0x68181a63c1f99404, 0x80857ff1f05faac5:0x91f6acb58b4a0d3e","Delivery, Takeout, Dine-in",Sandwich Bar,3075 Adeline St,Berkeley,Alameda
862031,0x808fb51b4f4b09ad:0x871b85d3ae177894,Grandma's Kitchen 外婆家常菜,"Grandma's Kitchen 外婆家常菜, 19541 Richwood Dr, Cupertino, CA 95014",37.3219968,-122.0148829,"Chinese restaurant, Chinese takeaway, Dumpling restaurant",4.4,25,Closed ⋅ Opens 11AM,Sin resultados vinculados,"Delivery, Takeout, Dine-in",Dining Venue,19541 Richwood Dr,Cupertino,Santa Clara
863926,0x80c328f9f39e3a39:0xe2718a346988cad9,Pep's Sub & Pizza Shack,"Pep's Sub & Pizza Shack, 151 Grand Ave, Covina, CA 91724",34.0872217,-117.8734611,Pizza restaurant,4.6,54,Closed ⋅ Opens 11AM,"0x80c328fea19f955b:0x9f9ab989a2ea485a, 0x80c3284fd0ca2b21:0x1fa2425e81fa1497, 0x80c32844d086c367:0x755d9859eab257a, 0x80c328bed1f029d5:0xf10b8d2cbab5f026, 0x80c328163e130495:0xc5d099817ef3860","Delivery, Takeout, Dine-in",Dining Venue,151 Grand Ave,Covina,Los Angeles
864054,0x80858091db02b49b:0xc16a3b676d44ad5f,The Original Perfect Hamburger,"The Original Perfect Hamburger, 601 Geary St, San Francisco, CA 94102",37.7866065,-122.4133179,"Hamburger restaurant, American restaurant, Chinese restaurant, Fast food restaurant",3.3,65,Closed ⋅ Opens 11AM,"0x80858091f1aaf95f:0x2b6cb037320a3f9f, 0x8085808e56912359:0x68f2d56a778994c3, 0x808580e3d1434971:0x8ff48dc78f89c1b9, 0x80858085930c47d9:0x38caa231154a4410, 0x80858091bea97f35:0xb85d17bd0690483b","Takeout, Dine-in, Delivery",Dining Venue,601 Geary St,San Francisco,San Francisco
864311,0x809b53c7c44f3553:0x8aabb2837cc53e00,KFC,"KFC, 438 Bridge St, Yuba City, CA 95991",39.135539,-121.613979,Fast food restaurant,3.7,48,Closed ⋅ Opens 10AM,Sin resultados vinculados,Sin dato,Dining Venue,438 Bridge St,Yuba City,Sutter
864447,0x80ec4234c46deda3:0x9fcfa1104897b815,7 Luminarias,"7 Luminarias, 868 Guadalupe St, Guadalupe, CA 93434",34.9695099,-120.5733493,Mexican restaurant,4.4,77,Closed ⋅ Opens 11AM,"0x80ec4234cf6b2503:0x2632eb0293b60e9a, 0x80ec4316060aba95:0x44ce47595fde486e, 0x80ec423521ada951:0x34d3006bb03c2de7, 0x80ec43cb3546c4df:0x1a01a4acc3b76e09, 0x80ec4234d3a68195:0x1a15ef837d02d5ce","Takeout, Dine-in, Delivery",Dining Venue,868 Guadalupe St,Guadalupe,Santa Barbara
864453,0x80ec6b61dc20561f:0x7d5e7654cd01e86e,Panaderia Carmelita,"Panaderia Carmelita, 1439 S Broadway A, Santa Maria, CA 93454",34.9362385,-120.437586,Bakery,4.2,38,Closed ⋅ Opens 10AM,"0x80ec6b9baffa010f:0xe7d056614e766ae4, 0x80ec6b815bf70541:0x5561f9d61157dc56, 0x80ec6b8807277fb1:0xcb9f46a80263d953, 0x80ec685144792273:0x750705c86393cd9f, 0x80ec6b5ffb478843:0x76c0904cd9c92e30","In-store shopping, Takeout, Delivery",Bakery Shop,1439 S Broadway A,Santa Maria,Santa Barbara
